,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
122,41,C,3.36722963,2.591597037,0.775632593,64.31010823,49.49644196,14.81366627,66.09468455666666,50.527587966666665,15.56709659,3.525197144333333,2.6956612686666666,0.8295358756666666
123,42,A,3.024620819,2.384883743,0.639737076,60.97594492,48.07893235,12.89701257,60.77093364,47.902759503333336,12.868174136666667,3.0502773363333335,2.4043803746666668,0.645896962
124,42,B,3.042565238,2.400223333,0.642341905,60.26160194,47.53926104,12.7223409,60.77093364,47.902759503333336,12.868174136666667,3.0502773363333335,2.4043803746666668,0.645896962
125,42,C,3.083645952,2.428034048,0.655611905,61.07525406,48.09008512,12.98516894,60.77093364,47.902759503333336,12.868174136666667,3.0502773363333335,2.4043803746666668,0.645896962
126,43,A,2.662787282,2.11816041,0.544626872,61.21566575,48.69506496,12.52060079,62.19241077666667,49.35299018333333,12.839420593333331,3.0180108833333334,2.394595696666667,0.6234151866666667
127,43,B,3.284564198,2.599738025,0.684826173,62.73129613,49.65192521,13.07937092,62.19241077666667,49.35299018333333,12.839420593333331,3.0180108833333334,2.394595696666667,0.6234151866666667
128,43,C,3.10668117,2.465888655,0.640792515,62.63027045,49.71198038,12.91829007,62.19241077666667,49.35299018333333,12.839420593333331,3.0180108833333334,2.394595696666667,0.6234151866666667
129,44,A,3.505684533,2.690936267,0.814748267,61.99484568,47.58676287,14.40808281,61.22425628666667,47.057538533333336,14.166717756666666,3.582510524,2.7535854873333334,0.828925037
130,44,B,3.576497872,2.746729362,0.829768511,59.45228832,45.65900828,13.79328005,61.22425628666667,47.057538533333336,14.166717756666666,3.582510524,2.7535854873333334,0.828925037
131,44,C,3.665349167,2.823090833,0.842258333,62.22563486,47.92684445,14.29879041,61.22425628666667,47.057538533333336,14.166717756666666,3.582510524,2.7535854873333334,0.828925037
132,45,A,2.650662295,2.124944262,0.525718033,57.18695621,45.84480441,11.3421518,50.78032743,41.145710623333336,9.634616805,2.4419063183333334,1.979213399,0.46269291966666665
133,45,B,2.560263678,2.060878391,0.499385287,52.52008677,42.2759237,10.24416307,50.78032743,41.145710623333336,9.634616805,2.4419063183333334,1.979213399,0.46269291966666665
134,45,C,2.114792982,1.751817544,0.362975439,42.63393931,35.31640376,7.317535545,50.78032743,41.145710623333336,9.634616805,2.4419063183333334,1.979213399,0.46269291966666665
135,46,A,3.626652593,2.819131111,0.807521481,69.26478036,53.84207399,15.42270637,68.27303922666667,53.23151383666667,15.041525389999999,3.6201272523333334,2.8225877333333336,0.7975395186666666
136,46,B,3.677520769,2.869433077,0.808087692,67.63495791,52.77304944,14.86190847,68.27303922666667,53.23151383666667,15.041525389999999,3.6201272523333334,2.8225877333333336,0.7975395186666666
137,46,C,3.556208395,2.779199012,0.777009383,67.91937941,53.07941808,14.83996133,68.27303922666667,53.23151383666667,15.041525389999999,3.6201272523333334,2.8225877333333336,0.7975395186666666
138,47,A,1.73176,1.365904,0.365856,30.62460211,24.15477117,6.46983094,31.063893800000002,24.633958173333337,6.429935629999999,1.7686376196666667,1.402715478,0.36592214166666664
139,47,B,1.780940915,1.409107712,0.371833203,32.12420834,25.41716536,6.707042984,31.063893800000002,24.633958173333337,6.429935629999999,1.7686376196666667,1.402715478,0.36592214166666664
140,47,C,1.793211944,1.433134722,0.360077222,30.44287095,24.32993799,6.112932966,31.063893800000002,24.633958173333337,6.429935629999999,1.7686376196666667,1.402715478,0.36592214166666664
141,48,A,0.867674,0.718555333,0.149118667,18.41283158,15.24839782,3.164433755,16.75881414666667,13.937825876666665,2.820988265333334,0.8150912183333333,0.6780353410000001,0.13705587766666666
142,48,B,0.872796322,0.719634023,0.153162299,17.90414751,14.76224564,3.141901865,16.75881414666667,13.937825876666665,2.820988265333334,0.8150912183333333,0.6780353410000001,0.13705587766666666
143,48,C,0.704803333,0.595916667,0.108886667,13.95946335,11.80283417,2.156629176,16.75881414666667,13.937825876666665,2.820988265333334,0.8150912183333333,0.6780353410000001,0.13705587766666666
144,49,A,3.05037291,2.439455661,0.610917249,67.96827238,54.35584164,13.61243074,67.45947513333333,54.01806606666667,13.44140907,3.0601108106666666,2.450503744,0.6096070663333334
145,49,B,3.051867937,2.435471746,0.61639619,68.00158449,54.26707222,13.73451227,67.45947513333333,54.01806606666667,13.44140907,3.0601108106666666,2.450503744,0.6096070663333334
