,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
147,50,A,1.581579167,1.300400833,0.281178333,17.90002594,14.7177006,3.18232534,18.61879543666667,15.265319533333333,3.3534759063333333,1.6119429413333333,1.3216472546666667,0.290295686
148,50,B,1.6633375,1.3618625,0.301475,18.82535191,15.41331258,3.412039329,18.61879543666667,15.265319533333333,3.3534759063333333,1.6119429413333333,1.3216472546666667,0.290295686
149,50,C,1.590912157,1.302678431,0.288233725,19.13100846,15.66494542,3.46606305,18.61879543666667,15.265319533333333,3.3534759063333333,1.6119429413333333,1.3216472546666667,0.290295686
150,51,A,0.717532874,0.625562299,0.091970575,7.359571809,6.416250501,0.943321308,8.200334818,6.836217019,1.3641177996666667,0.714189334,0.5968539110000001,0.117335423
151,51,B,0.563901414,0.465063434,0.09883798,6.581575535,5.427988022,1.153587513,8.200334818,6.836217019,1.3641177996666667,0.714189334,0.5968539110000001,0.117335423
152,51,C,0.861133714,0.699936,0.161197714,10.65985711,8.664412534,1.995444578,8.200334818,6.836217019,1.3641177996666667,0.714189334,0.5968539110000001,0.117335423
154,52,B,1.919183248,1.548648547,0.370534701,26.47242932,21.3614251,5.111004221,26.54998939,21.556398105,4.9935912855,1.8777225185,1.5243221595,0.3534003585
155,52,C,1.836261789,1.499995772,0.336266016,26.62754946,21.75137111,4.87617835,26.54998939,21.556398105,4.9935912855,1.8777225185,1.5243221595,0.3534003585
156,53,A,2.126561818,1.715285455,0.411276364,33.09355592,26.69327297,6.400282945,32.63734251333333,26.42514599,6.212196521333333,2.0979592093333337,1.6986574023333334,0.39930180733333337
157,53,B,2.036583407,1.650641481,0.385941926,32.41361439,26.27108533,6.142529061,32.63734251333333,26.42514599,6.212196521333333,2.0979592093333337,1.6986574023333334,0.39930180733333337
158,53,C,2.130732403,1.730045271,0.400687132,32.40485723,26.31107967,6.093777558,32.63734251333333,26.42514599,6.212196521333333,2.0979592093333337,1.6986574023333334,0.39930180733333337
159,54,A,2.297432558,1.843724651,0.453707907,34.9400863,28.0399519,6.900134399,35.641913653333326,28.643823536666662,6.998090118,2.314729379,1.8603096286666665,0.45441975033333337
160,54,B,2.169210213,1.742851064,0.426359149,36.05888095,28.97149324,7.087387706,35.641913653333326,28.643823536666662,6.998090118,2.314729379,1.8603096286666665,0.45441975033333337
