Leaf,Measurement Type,Integration Time,LED Current,Score
mango,reflectance,200,12.5 mA,0.9161153014568835
mango,reflectance,200,12.5 mA,0.8620899607878116
mango,reflectance,200,12.5 mA,0.874200202243263
mango,reflectance,200,12.5 mA,0.8721633058756275
mango,reflectance,200,25 mA,0.9059099212280278
mango,reflectance,200,25 mA,0.9136935415393896
mango,reflectance,200,25 mA,0.9054405542941678
mango,reflectance,200,25 mA,0.9041702505034819
mango,reflectance,200,25 mA,0.920143011087859
mango,reflectance,200,25 mA,0.8614664551950311
mango,reflectance,200,25 mA,0.8269460756922441
mango,reflectance,200,25 mA,0.8944132056399611
mango,reflectance,200,25 mA,0.871071141208628
mango,reflectance,200,25 mA,0.8663764668464355
mango,reflectance,200,50 mA,0.8731680469188077
mango,reflectance,200,50 mA,0.9008318601473668
mango,reflectance,200,50 mA,0.8436774219879817
mango,reflectance,200,50 mA,0.9069004255825815
mango,reflectance,200,50 mA,0.8729909901479207
mango,reflectance,200,50 mA,0.8546565865429085
mango,reflectance,200,50 mA,0.8528811373498517
mango,reflectance,200,50 mA,0.8775453521719713
mango,reflectance,200,50 mA,0.9017544387744711
mango,reflectance,200,50 mA,0.8933701530944341
mango,reflectance,200,100 mA,0.8690065387032518
mango,reflectance,200,100 mA,0.879428821323953
mango,reflectance,200,100 mA,0.8822506658385869
mango,reflectance,200,100 mA,0.82771158301792
mango,reflectance,200,100 mA,0.9060896838903278
mango,reflectance,200,100 mA,0.851494044797505
mango,reflectance,200,100 mA,0.8614248757588523
mango,reflectance,200,100 mA,0.88778123271185
mango,reflectance,200,100 mA,0.85830949388332
mango,reflectance,200,100 mA,0.7850199780911101
mango,reflectance,250,12.5 mA,0.9167510720063068
mango,reflectance,250,12.5 mA,0.8810329105969563
mango,reflectance,250,12.5 mA,0.8728181473360576
mango,reflectance,250,12.5 mA,0.8514673161195859
mango,reflectance,250,12.5 mA,0.8938514405216023
mango,reflectance,250,12.5 mA,0.8910918336783207
mango,reflectance,250,12.5 mA,0.8581013572982524
mango,reflectance,250,12.5 mA,0.9083339917938681
mango,reflectance,250,12.5 mA,0.9101743140539177
mango,reflectance,250,12.5 mA,0.905939823174321
mango,reflectance,250,25 mA,0.9293466728119423
mango,reflectance,250,25 mA,0.8846522978657674
mango,reflectance,250,25 mA,0.9034745258945303
mango,reflectance,250,25 mA,0.8837031616656156
mango,reflectance,250,25 mA,0.9112779291044337
mango,reflectance,250,25 mA,0.8701634206995537
mango,reflectance,250,25 mA,0.8693130451048714
mango,reflectance,250,25 mA,0.9011991666756517
mango,reflectance,250,25 mA,0.9113148079547674
mango,reflectance,250,25 mA,0.8998507912266704
mango,reflectance,250,50 mA,0.8934448469121375
mango,reflectance,250,50 mA,0.8416843243605195
mango,reflectance,250,50 mA,0.8844716461713138
mango,reflectance,250,50 mA,0.858600631990843
mango,reflectance,250,50 mA,0.8458433785015194
mango,reflectance,250,50 mA,0.8363852706746604
mango,reflectance,250,50 mA,0.8788678662367904
mango,reflectance,250,50 mA,0.867360057373425
mango,reflectance,250,50 mA,0.8794342355285483
mango,reflectance,250,50 mA,0.8622347012870892
mango,reflectance,250,100 mA,0.8646764537420247
mango,reflectance,250,100 mA,0.8522042523735212
mango,reflectance,250,100 mA,0.8235473559721972
mango,reflectance,250,100 mA,0.856782235500396
mango,reflectance,250,100 mA,0.8565101771980063
mango,reflectance,250,100 mA,0.8377518205520095
mango,reflectance,250,100 mA,0.815070129272776
mango,reflectance,250,100 mA,0.8419993534272444
mango,reflectance,250,100 mA,0.8809539289082613
mango,reflectance,250,100 mA,0.8316896054778671
mango,absorbance,50,12.5 mA,0.9336028744714343
mango,absorbance,50,12.5 mA,0.9372852290977212
mango,absorbance,50,12.5 mA,0.9228166779647315
mango,absorbance,50,12.5 mA,0.9281269916677316
mango,absorbance,50,12.5 mA,0.9271216135042525
mango,absorbance,50,12.5 mA,0.8806610911862114
mango,absorbance,50,12.5 mA,0.9165075300200388
mango,absorbance,50,12.5 mA,0.8869042819307783
mango,absorbance,50,12.5 mA,0.9135386169186297
mango,absorbance,50,12.5 mA,0.8734554308760569
mango,absorbance,50,25 mA,0.8793608739294194
mango,absorbance,50,25 mA,0.8899127224697885
mango,absorbance,50,25 mA,0.8973771692322329
mango,absorbance,50,25 mA,0.8885266566380603
mango,absorbance,50,25 mA,0.9359455780381863
mango,absorbance,50,25 mA,0.8603174899875683
mango,absorbance,50,25 mA,0.9138623249831593
mango,absorbance,50,25 mA,0.9218155315135512
mango,absorbance,50,25 mA,0.9001078882810067
mango,absorbance,50,25 mA,0.8585035317903724
mango,absorbance,50,50 mA,0.8628424722987827
mango,absorbance,50,50 mA,0.8864850811900303
mango,absorbance,50,50 mA,0.8938032861887761
mango,absorbance,50,50 mA,0.8835269955121734
mango,absorbance,50,50 mA,0.8939551776173762
mango,absorbance,50,50 mA,0.8048210264643825
mango,absorbance,50,50 mA,0.9186654063396932
mango,absorbance,50,50 mA,0.9211882379321051
mango,absorbance,50,50 mA,0.8662155953436363
mango,absorbance,50,50 mA,0.9116656367128098
mango,absorbance,50,100 mA,0.8512885889485488
mango,absorbance,50,100 mA,0.8353445275444674
mango,absorbance,50,100 mA,0.8762622629227067
mango,absorbance,50,100 mA,0.9081554162995139
mango,absorbance,50,100 mA,0.873502817513487
mango,absorbance,50,100 mA,0.89433127760683
mango,absorbance,50,100 mA,0.8977300421691562
mango,absorbance,50,100 mA,0.8716085804478904
mango,absorbance,50,100 mA,0.8320851477264462
mango,absorbance,50,100 mA,0.8758599691039433
mango,absorbance,100,12.5 mA,0.9421838394694192
mango,absorbance,100,12.5 mA,0.9240572755459904
mango,absorbance,100,12.5 mA,0.8816130219269716
mango,absorbance,100,12.5 mA,0.9283418051718187
mango,absorbance,100,12.5 mA,0.9400066199033085
mango,absorbance,100,12.5 mA,0.9171058261868824
mango,absorbance,100,12.5 mA,0.8785011638882898
mango,absorbance,100,12.5 mA,0.9049492408994299
mango,absorbance,100,12.5 mA,0.9205598661229186
mango,absorbance,100,12.5 mA,0.9108043527247215
mango,absorbance,100,25 mA,0.9319089276173584
mango,absorbance,100,25 mA,0.8885085062490748
mango,absorbance,100,25 mA,0.9453293050379954
mango,absorbance,100,25 mA,0.9237870387468992
mango,absorbance,100,25 mA,0.9067975899013869
mango,absorbance,100,25 mA,0.9332849689141447
mango,absorbance,100,25 mA,0.94158511443187
mango,absorbance,100,25 mA,0.9134830586799443
mango,absorbance,100,25 mA,0.928616969152468
mango,absorbance,100,25 mA,0.8941864505104368
mango,absorbance,100,50 mA,0.856494652832676
mango,absorbance,100,50 mA,0.9115121484338555
mango,absorbance,100,50 mA,0.9075515912773916
mango,absorbance,100,50 mA,0.8012986333908045
mango,absorbance,100,50 mA,0.8878965160041339
mango,absorbance,100,50 mA,0.9149533970865672
mango,absorbance,100,50 mA,0.8311357986081117
mango,absorbance,100,50 mA,0.8789082659220983
mango,absorbance,100,50 mA,0.8206057085764378
mango,absorbance,100,50 mA,0.8618512108715765
mango,absorbance,100,100 mA,0.878006079196555
mango,absorbance,100,100 mA,0.8255429814889568
mango,absorbance,100,100 mA,0.8302874868226157
mango,absorbance,100,100 mA,0.8888260075262122
mango,absorbance,100,100 mA,0.8991342530764375
mango,absorbance,100,100 mA,0.8624718900175077
mango,absorbance,100,100 mA,0.9029950662589623
mango,absorbance,100,100 mA,0.8794986984747329
mango,absorbance,100,100 mA,0.8559213212608529
mango,absorbance,100,100 mA,0.8859882139830189
mango,absorbance,150,12.5 mA,0.9091873934054051
mango,absorbance,150,12.5 mA,0.9094710792089237
mango,absorbance,150,12.5 mA,0.9167325470356021
mango,absorbance,150,12.5 mA,0.8964618289228763
mango,absorbance,150,12.5 mA,0.9261902723209817
mango,absorbance,150,12.5 mA,0.9218270957405285
mango,absorbance,150,12.5 mA,0.9220049280669217
mango,absorbance,150,12.5 mA,0.9166972489778846
mango,absorbance,150,12.5 mA,0.9077798827516719
mango,absorbance,150,12.5 mA,0.9040724629989338
mango,absorbance,150,25 mA,0.8900024236866284
mango,absorbance,150,25 mA,0.9290206019930786
mango,absorbance,150,25 mA,0.9013256973001843
mango,absorbance,150,25 mA,0.8802795285027327
mango,absorbance,150,25 mA,0.8877101464102982
mango,absorbance,150,25 mA,0.9142918707890798
mango,absorbance,150,25 mA,0.8900260288551372
mango,absorbance,150,25 mA,0.8667391951972762
mango,absorbance,150,25 mA,0.9219172427589717
mango,absorbance,150,25 mA,0.8999745946323509
mango,absorbance,150,50 mA,0.87195459559318
mango,absorbance,150,50 mA,0.831603486399513
mango,absorbance,150,50 mA,0.8996518846589263
mango,absorbance,150,50 mA,0.840815769389978
mango,absorbance,150,50 mA,0.9013624352703864
mango,absorbance,150,50 mA,0.9230704061465308
mango,absorbance,150,50 mA,0.8842786770797093
mango,absorbance,150,50 mA,0.880277798232706
mango,absorbance,150,50 mA,0.8645075919657108
mango,absorbance,150,50 mA,0.8947367091034717
mango,absorbance,150,100 mA,0.8850230352756343
mango,absorbance,150,100 mA,0.7745109995526976
mango,absorbance,150,100 mA,0.8842962021117229
mango,absorbance,150,100 mA,0.8622898615612536
mango,absorbance,150,100 mA,0.8896764744151612
mango,absorbance,150,100 mA,0.8944527031659552
mango,absorbance,150,100 mA,0.87455948940681
mango,absorbance,150,100 mA,0.8745942849509825
mango,absorbance,150,100 mA,0.9165856153271562
mango,absorbance,150,100 mA,0.8736196207712592
mango,absorbance,200,12.5 mA,0.9147904743652093
mango,absorbance,200,12.5 mA,0.9263573067560819
mango,absorbance,200,12.5 mA,0.9208845695854714
mango,absorbance,200,12.5 mA,0.905094000587882
mango,absorbance,200,12.5 mA,0.8807297099769944
mango,absorbance,200,12.5 mA,0.9282947877844518
mango,absorbance,200,12.5 mA,0.9165584179706364
mango,absorbance,200,12.5 mA,0.8951327666168971
mango,absorbance,200,12.5 mA,0.9297684047504345
mango,absorbance,200,12.5 mA,0.9323016584660808
mango,absorbance,200,25 mA,0.9189869025870854
mango,absorbance,200,25 mA,0.9265252558063194
mango,absorbance,200,25 mA,0.9350330534551442
